DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500S1,P7500S1A1,P7500S2,P7500S2A1,P7500S3,P7500S3A1,P7505,P7510S1,P7510S1A1,P7510S2,P7510S2A1,P7510S3,P7510S3A1,P750S1,P750S1A1,P750S2,P750S2A1,P1661S1,P1661S1A1,P1661S2,P1661S2A1,P1661S3,P1661S3A1,P1661S4,P1661S4A1,P1661S4A2,P750S3,P750S3A1,P750S4,P7510S5,P7510S5A1,P7510S6,P7510S6A1,P7510S7,P7510S7A1,CLASE,MES,DPTO,fex_c_2011
5411465,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,721.29588412
5411466,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,620.48599769
5411467,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,493.74273362
5411467,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,493.74273362
5411468,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,490.65871379
5411468,1,2,1,95,2,,,,,,,1,2,,2,,1,1760000,,,1,1760000,,,,,,,1,INGRESO SOLIDARIO,1760000,,,,2,,2,,2,,2,03,66,490.65871379
5411468,1,3,1,95,1,2,,1,835526,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,490.65871379
5411469,1,1,1,95,2,,,,,,,1,1,3600000,2,,1,900000,,,1,900000,,,,,1,900000,,,,,,,2,,2,,2,,2,03,66,441.03787812
5411470,1,1,1,95,2,,,,,,,1,2,,2,,1,1800000,,,1,1800000,,,,,1,1800000,,,,,,,2,,2,,2,,2,03,66,685.69762841
5411470,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,685.69762841
5411470,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,685.69762841
5411472,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,552.8428468
5411472,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,552.8428468
5411473,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,249.07806127
5411473,1,2,1,95,2,,,,,,,1,2,,2,,1,720000,,,1,720000,1,720000,,,,,,,,,,,2,,2,,2,,2,03,66,249.07806127
5411473,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,249.07806127
5411473,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,249.07806127
5411474,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,707.17256741
5411474,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,707.17256741
5411474,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,707.17256741
5411474,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,707.17256741
5411475,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,547.77695822
5411475,1,2,1,95,2,,,,,,,1,1,2400000,2,,2,,,,,,,,,,,,,,,,,,2,,2,,2,,2,03,66,547.77695822
5411476,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,498.80862221
5411476,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,498.80862221
5411477,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,620.48599769
5411478,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,637.06936546
5411478,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,637.06936546
5411479,1,1,1,95,1,1,3600000,2,,2,,1,2,,2,,1,900000,,,1,900000,,,,,1,900000,,,,,,,2,,2,,2,,2,03,66,563.36775326
5411479,1,2,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,563.36775326
5411480,1,1,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,817.93732915
5411480,1,2,1,95,2,,,,,,,1,2,,2,,1,1160000,,,1,1160000,,,,,,,1,INGRESO SOLIDARIO,1160000,,,,2,,2,,2,,2,03,66,817.93732915
5411480,1,3,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,817.93732915
5411480,1,4,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,817.93732915
5411480,1,6,1,95,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,66,817.93732915
5411481,1,1,1,95,2,,,,,,,1,1,3600000,2,,1,1800000,,,1,1800000,,,,,1,1800000,,,,,,,2,,2,,2,,2,03,66,441.03787812
